Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
B01,FAM,N1,Unkn,NO_231_A,NaN,NaN
B02,FAM,N1,Unkn,NO_231_A,37.48575945,NaN
B03,FAM,N1,Unkn,NO_231_A,37.71757695,NaN
B05,FAM,N1,Unkn,MI_231_A,35.80320893,NaN
B06,FAM,N1,Unkn,MI_231_A,36.61312507,NaN
B07,FAM,N1,Unkn,MI_231_A,37.01254997,NaN
B09,FAM,N1,Unkn,CC_231_A,36.76804674,NaN
B10,FAM,N1,Unkn,CC_231_A,35.74294833,NaN
B11,FAM,N1,Unkn,CC_231_A,37.58660401,NaN
B13,FAM,N2,Unkn,NO_231_A,39.06526086,NaN
B14,FAM,N2,Unkn,NO_231_A,39.11274885,NaN
B15,FAM,N2,Unkn,NO_231_A,39.14406062,NaN
B16,FAM,N2,Unkn,MI_231_A,37.0269798,NaN
B17,FAM,N2,Unkn,MI_231_A,39.09914571,NaN
B18,FAM,N2,Unkn,MI_231_A,37.30171841,NaN
B19,FAM,N2,Unkn,CC_231_A,38.38543551,NaN
B20,FAM,N2,Unkn,CC_231_A,38.78145141,NaN
B21,FAM,N2,Unkn,CC_231_A,38.3553084,NaN
B22,FAM,BCOV,Unkn,NO_231_B,27.89048097,NaN
B23,FAM,BCOV,Unkn,NO_231_B,28.01457512,NaN
B24,FAM,BCOV,Unkn,NO_231_B,28.11548939,NaN
D01,FAM,N1,Unkn,NO_231_B,NaN,NaN
D02,FAM,N1,Unkn,NO_231_B,37.66317246,NaN
D03,FAM,N1,Unkn,NO_231_B,38.04443382,NaN
D05,FAM,N1,Unkn,MI_231_B,36.63119029,NaN
D06,FAM,N1,Unkn,MI_231_B,36.78995212,NaN
D07,FAM,N1,Unkn,MI_231_B,35.20724932,NaN
D09,FAM,N1,Unkn,CC_231_B,38.08072516,NaN
D10,FAM,N1,Unkn,CC_231_B,37.78553349,NaN
D11,FAM,N1,Unkn,CC_231_B,37.51143244,NaN
D13,FAM,N2,Unkn,NO_231_B,39.26360658,NaN
D14,FAM,N2,Unkn,NO_231_B,39.60901333,NaN
D15,FAM,N2,Unkn,NO_231_B,38.42499969,NaN
D16,FAM,N2,Unkn,MI_231_B,38.89509073,NaN
D17,FAM,N2,Unkn,MI_231_B,39.10236969,NaN
D18,FAM,N2,Unkn,MI_231_B,37.3396863,NaN
D19,FAM,N2,Unkn,CC_231_B,38.61960577,NaN
D20,FAM,N2,Unkn,CC_231_B,NaN,NaN
D21,FAM,N2,Unkn,CC_231_B,NaN,NaN
D22,FAM,BCOV,Unkn,MI_231_B,28.29588802,NaN
D23,FAM,BCOV,Unkn,MI_231_B,28.16426836,NaN
D24,FAM,BCOV,Unkn,MI_231_B,28.50041929,NaN
F01,FAM,N1,Unkn,NO_231_C,35.57599002,NaN
F02,FAM,N1,Unkn,NO_231_C,NaN,NaN
F03,FAM,N1,Unkn,NO_231_C,NaN,NaN
F05,FAM,N1,Unkn,MI_231_C,35.44239754,NaN
F06,FAM,N1,Unkn,MI_231_C,38.02425288,NaN
F07,FAM,N1,Unkn,MI_231_C,34.84481151,NaN
F09,FAM,N1,Unkn,CC_231_C,NaN,NaN
