Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_208_A,36.7693015,NaN
A02,FAM,N1,Unkn,NO_208_A,36.1710578,NaN
A03,FAM,N1,Unkn,NO_208_A,37.7209673,NaN
A05,FAM,N1,Unkn,MI_208_A,36.2641502,NaN
A06,FAM,N1,Unkn,MI_208_A,36.3260306,NaN
A07,FAM,N1,Unkn,MI_208_A,36.2803161,NaN
A09,FAM,N1,Unkn,CC_208_A,35.4609917,NaN
A10,FAM,N1,Unkn,CC_208_A,35.3292142,NaN
A11,FAM,N1,Unkn,CC_208_A,35.6365202,NaN
A13,FAM,N2,Unkn,NO_208_A,37.3530324,NaN
A14,FAM,N2,Unkn,NO_208_A,37.1574222,NaN
A15,FAM,N2,Unkn,NO_208_A,36.871154,NaN
A16,FAM,N2,Unkn,MI_208_A,37.8038693,NaN
A17,FAM,N2,Unkn,MI_208_A,37.8764633,NaN
A18,FAM,N2,Unkn,MI_208_A,38.2713726,NaN
A19,FAM,N2,Unkn,CC_208_A,36.6854389,NaN
A20,FAM,N2,Unkn,CC_208_A,36.6145972,NaN
A21,FAM,N2,Unkn,CC_208_A,37.9171845,NaN
A22,FAM,BCOV,Unkn,NO_208_B,30.2002055,NaN
A23,FAM,BCOV,Unkn,NO_208_B,30.3119059,NaN
A24,FAM,BCOV,Unkn,NO_208_B,30.06854,NaN
C01,FAM,N1,Unkn,NO_208_B,35.7687458,NaN
C02,FAM,N1,Unkn,NO_208_B,35.0333328,NaN
C03,FAM,N1,Unkn,NO_208_B,36.2238085,NaN
C05,FAM,N1,Unkn,MI_208_B,35.8277118,NaN
C06,FAM,N1,Unkn,MI_208_B,37.2760389,NaN
C07,FAM,N1,Unkn,MI_208_B,35.6942766,NaN
C09,FAM,N1,Unkn,CC_208_B,36.0759433,NaN
C10,FAM,N1,Unkn,CC_208_B,37.3767206,NaN
C11,FAM,N1,Unkn,CC_208_B,37.081866,NaN
C13,FAM,N2,Unkn,NO_208_B,38.5168023,NaN
C14,FAM,N2,Unkn,NO_208_B,37.4417629,NaN
C15,FAM,N2,Unkn,NO_208_B,37.1350553,NaN
C16,FAM,N2,Unkn,MI_208_B,36.7441064,NaN
C17,FAM,N2,Unkn,MI_208_B,37.7303724,NaN
C18,FAM,N2,Unkn,MI_208_B,37.0469263,NaN
C19,FAM,N2,Unkn,CC_208_B,36.7926202,NaN
C20,FAM,N2,Unkn,CC_208_B,37.4392022,NaN
C21,FAM,N2,Unkn,CC_208_B,38.6809407,NaN
C22,FAM,BCOV,Unkn,MI_208_B,30.237726,NaN
C23,FAM,BCOV,Unkn,MI_208_B,30.0670324,NaN
C24,FAM,BCOV,Unkn,MI_208_B,30.0848664,NaN
E01,FAM,N1,Unkn,NO_208_C,36.0111545,NaN
E02,FAM,N1,Unkn,NO_208_C,35.5211799,NaN
E03,FAM,N1,Unkn,NO_208_C,35.9979232,NaN
E05,FAM,N1,Unkn,MI_208_C,35.8515917,NaN
E06,FAM,N1,Unkn,MI_208_C,36.0539713,NaN
E07,FAM,N1,Unkn,MI_208_C,35.4973974,NaN
E09,FAM,N1,Unkn,CC_208_C,35.6799009,NaN
E10,FAM,N1,Unkn,CC_208_C,36.0451097,NaN
E11,FAM,N1,Unkn,CC_208_C,35.3566222,NaN
E13,FAM,N2,Unkn,NO_208_C,37.8352764,NaN
E14,FAM,N2,Unkn,NO_208_C,37.2388563,NaN
