Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_233_A,NaN,NaN
A02,FAM,N1,Unkn,NO_233_A,36.06773633,NaN
A03,FAM,N1,Unkn,NO_233_A,NaN,NaN
A05,FAM,N1,Unkn,MI_233_A,37.20056329,NaN
A06,FAM,N1,Unkn,MI_233_A,37.69329565,NaN
A07,FAM,N1,Unkn,MI_233_A,38.53533602,NaN
A09,FAM,N1,Unkn,CC_233_A,35.65326247,NaN
A10,FAM,N1,Unkn,CC_233_A,36.69658181,NaN
A11,FAM,N1,Unkn,CC_233_A,36.89720008,NaN
A13,FAM,N2,Unkn,NO_233_A,39.78151224,NaN
A14,FAM,N2,Unkn,NO_233_A,38.40830121,NaN
A15,FAM,N2,Unkn,NO_233_A,39.83499402,NaN
A16,FAM,N2,Unkn,MI_233_A,39.70077144,NaN
A17,FAM,N2,Unkn,MI_233_A,NaN,NaN
A18,FAM,N2,Unkn,MI_233_A,38.6841082,NaN
A19,FAM,N2,Unkn,CC_233_A,37.01250239,NaN
A20,FAM,N2,Unkn,CC_233_A,38.80054615,NaN
A21,FAM,N2,Unkn,CC_233_A,39.01286741,NaN
A22,FAM,BCOV,Unkn,NO_233_B,28.72616904,NaN
A23,FAM,BCOV,Unkn,NO_233_B,28.61827346,NaN
A24,FAM,BCOV,Unkn,NO_233_B,28.37972714,NaN
C01,FAM,N1,Unkn,NO_233_B,NaN,NaN
C02,FAM,N1,Unkn,NO_233_B,NaN,NaN
C03,FAM,N1,Unkn,NO_233_B,38.23322894,NaN
C05,FAM,N1,Unkn,MI_233_B,38.62964103,NaN
C06,FAM,N1,Unkn,MI_233_B,NaN,NaN
C07,FAM,N1,Unkn,MI_233_B,NaN,NaN
C09,FAM,N1,Unkn,CC_233_B,36.13710459,NaN
C10,FAM,N1,Unkn,CC_233_B,36.06725113,NaN
C11,FAM,N1,Unkn,CC_233_B,36.38207756,NaN
C13,FAM,N2,Unkn,NO_233_B,NaN,NaN
C14,FAM,N2,Unkn,NO_233_B,NaN,NaN
C15,FAM,N2,Unkn,NO_233_B,38.70846261,NaN
C16,FAM,N2,Unkn,MI_233_B,39.92183076,NaN
C17,FAM,N2,Unkn,MI_233_B,39.67851056,NaN
C18,FAM,N2,Unkn,MI_233_B,39.02407571,NaN
C19,FAM,N2,Unkn,CC_233_B,39.83144757,NaN
C20,FAM,N2,Unkn,CC_233_B,37.2685238,NaN
C21,FAM,N2,Unkn,CC_233_B,38.05022435,NaN
C22,FAM,BCOV,Unkn,MI_233_B,28.54305199,NaN
C23,FAM,BCOV,Unkn,MI_233_B,28.31243791,NaN
C24,FAM,BCOV,Unkn,MI_233_B,28.26886488,NaN
E01,FAM,N1,Unkn,NO_233_C,38.64734466,NaN
E02,FAM,N1,Unkn,NO_233_C,37.07731829,NaN
E03,FAM,N1,Unkn,NO_233_C,37.24847488,NaN
E05,FAM,N1,Unkn,MI_233_C,36.53671046,NaN
E06,FAM,N1,Unkn,MI_233_C,36.29871268,NaN
E07,FAM,N1,Unkn,MI_233_C,38.09188503,NaN
E09,FAM,N1,Unkn,CC_233_C,37.10114836,NaN
E10,FAM,N1,Unkn,CC_233_C,NaN,NaN
E11,FAM,N1,Unkn,CC_233_C,36.71983001,NaN
E13,FAM,N2,Unkn,NO_233_C,NaN,NaN
E14,FAM,N2,Unkn,NO_233_C,NaN,NaN
E15,FAM,N2,Unkn,NO_233_C,38.30293363,NaN
E16,FAM,N2,Unkn,MI_233_C,37.83232697,NaN
E17,FAM,N2,Unkn,MI_233_C,38.03513286,NaN
E18,FAM,N2,Unkn,MI_233_C,38.09288256,NaN
E19,FAM,N2,Unkn,CC_233_C,37.56848193,NaN
E20,FAM,N2,Unkn,CC_233_C,38.04772651,NaN
E21,FAM,N2,Unkn,CC_233_C,39.70397977,NaN
E22,FAM,BCOV,Unkn,CC_233_B,28.24106845,NaN
E23,FAM,BCOV,Unkn,CC_233_B,28.08796708,NaN
E24,FAM,BCOV,Unkn,CC_233_B,28.08864023,NaN
G01,FAM,N1,Unkn,NO_233_D,38.03117875,NaN
G02,FAM,N1,Unkn,NO_233_D,NaN,NaN
G03,FAM,N1,Unkn,NO_233_D,NaN,NaN
G05,FAM,N1,Unkn,MI_233_D,38.51747767,NaN
G06,FAM,N1,Unkn,MI_233_D,36.69607712,NaN
G07,FAM,N1,Unkn,MI_233_D,36.47817463,NaN
G09,FAM,N1,Unkn,CC_233_D,37.17320392,NaN
G10,FAM,N1,Unkn,CC_233_D,37.16416218,NaN
G11,FAM,N1,Unkn,CC_233_D,NaN,NaN
G13,FAM,N2,Unkn,NO_233_D,NaN,NaN
G14,FAM,N2,Unkn,NO_233_D,38.77311278,NaN
G15,FAM,N2,Unkn,NO_233_D,39.63545647,NaN
G16,FAM,N2,Unkn,MI_233_D,38.08867788,NaN
G17,FAM,N2,Unkn,MI_233_D,38.40037593,NaN
G18,FAM,N2,Unkn,MI_233_D,NaN,NaN
G19,FAM,N2,Unkn,CC_233_D,39.77388591,NaN
G20,FAM,N2,Unkn,CC_233_D,38.07722768,NaN
G21,FAM,N2,Unkn,CC_233_D,39.22548205,NaN
G22,FAM,BCOV,Unkn,CG_233,19.06388532,NaN
G23,FAM,BCOV,Unkn,CG_233,19.10492206,NaN
G24,FAM,BCOV,Unkn,CG_233,19.17826341,NaN
I01,FAM,N1,Unkn,NO_233_E,NaN,NaN
I02,FAM,N1,Unkn,NO_233_E,36.76299746,NaN
I03,FAM,N1,Unkn,NO_233_E,38.49268394,NaN
I05,FAM,N1,Unkn,MI_233_E,38.50735424,NaN
I06,FAM,N1,Unkn,MI_233_E,37.66723217,NaN
I07,FAM,N1,Unkn,MI_233_E,37.07778862,NaN
I09,FAM,N1,Unkn,CC_233_E,36.14152368,NaN
I10,FAM,N1,Unkn,CC_233_E,36.05090229,NaN
I11,FAM,N1,Unkn,CC_233_E,NaN,NaN
I13,FAM,N2,Unkn,NO_233_E,39.49883155,NaN
I14,FAM,N2,Unkn,NO_233_E,39.56891038,NaN
